"ResponseId","PROLIFIC_PID","participant_party","learner_party","political_extremism","block","condition","env1_own","env2_own","env3_own","env4_own","env5_own","env6_own","env1_ingroup","env2_ingroup","env3_ingroup","env4_ingroup","env5_ingroup","env6_ingroup","env1_outgroup_pre","env2_outgroup_pre","env3_outgroup_pre","env4_outgroup_pre","env5_outgroup_pre","env6_outgroup_pre","env1_outgroup_post","env2_outgroup_post","env3_outgroup_post","env4_outgroup_post","env5_outgroup_post","env6_outgroup_post","green_own","green_ingroup","green_outgroup_pre","green_outgroup_post","accuracy_pre","accuracy_post","actual_green","warmth_outgroup_pre","warmth_ingroup_pre","warmth_outgroup_post","warmth_ingroup_post","warmth_diff_pre","warmth_diff_post","confidence_ingroup","confidence_outgroup_pre","confidence_outgroup_post","donation","age","gender","race_1","race_2","race_6","race_3","race_4","race_7","race_5","tab_switch_count","time_hidden_ms","tab_switch_count_bot","time_hidden_ms_bot","duration_sec","talk_partner","comments"
"R_3rZvOaZe1DSB3UF","{{%PROLIFIC_PID%}}","Democrat","D→R",51,"dem_first",NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-0.775510204081633,-0.775510204081633,3.77551020408163,18,25,12,20,-7,-8,3,3,3,25,47,"Female","White",NA,NA,NA,NA,NA,NA,1,24140,NA,NA,729,"I'd rather talk with a democrat",NA
"R_6Mxkq7RXuuRtFAD","61705235c277934df17055e6","Democrat","D→R",70,"dem_first","twin_republican",5,5,5,5,5,5,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,5,4,4,5,4,2,4.16666666666667,-1.77551020408163,-0.391156462585034,3.77551020408163,30,40,35,40,-10,-5,2,2,4,0,50,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,597447,942,"I'd rather talk with a republican","Interesting study! Everything worked great and was clear. Thank you and good luck!"
"R_7ScA1dCRkDltuv8","5eac686d82cc012af1e953c7","Republican","R→D",100,"dem_first","twin_democrat",3,3,4,5,4,4,3,3,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3.83333333333333,3.66666666666667,4,4,-0.00333333333333341,-0.00333333333333341,3.99666666666667,16,84,16,84,-68,-68,4,4,4,0,59,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,597238,859,"I'd rather talk with a republican",NA
"R_3jvUvMXshS5OdwN","5fd66ce8aec66457ff73d743","Republican","R→D",100,"dem_first","twin_democrat",4,4,4,5,4,4,4,4,4,5,4,4,1,1,1,1,1,1,4,4,4,4,4,4,4.16666666666667,4.16666666666667,1,4,-2.99666666666667,-0.00333333333333341,3.99666666666667,0,100,50,100,-100,-50,5,5,3,0,59,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,596809,844,"I'd rather talk with a republican",NA
"R_6dH5icoTCgrAMxM","670453b0d93209a1e156916d","Democrat","D→R",70,"dem_first","twin_republican",4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,3,2,2,4,4,1,2.16666666666667,-2.77551020408163,-1.60884353741497,3.77551020408163,40,65,40,65,-25,-25,3,2,3,10,26,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,597475,864,"I'd rather talk with a democrat",NA
"R_7Cw4TE8kru6kL5u","588e02b13326830001bc29cd","Republican","R→D",31,"dem_first","twin_democrat",1,1,1,1,1,1,4,2,4,4,4,2,5,5,5,5,5,5,5,5,5,5,5,5,1,3.33333333333333,5,5,-1.00333333333333,-1.00333333333333,3.99666666666667,100,100,100,100,0,0,2,3,5,0,45,"Female","White",NA,NA,NA,NA,NA,NA,0,0,2,574230,775,"I'd rather talk with a republican","Thank you and have a great day."
"R_31cvl14gbAFqsO5","698f84553a42023267b6e1ca","Democrat","D→R",100,"dem_first","twin_republican",5,4,3,5,4,5,5,5,4,5,4,5,1,1,1,1,3,1,2,2,1,2,4,1,4.33333333333333,4.66666666666667,1.33333333333333,2,-2.4421768707483,-1.77551020408163,3.77551020408163,7,73,0,71,-66,-71,4,5,4,0,37,"Male","White",NA,NA,NA,NA,NA,NA,0,0,2,597900,727,"I'd rather talk with a democrat",NA
"R_6QGJfNNRm2nh6bZ","699218fc3c4d6fb93e44c1fe","Republican","R→D",40,"dem_first","twin_democrat",5,4,4,5,5,4,3,2,2,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,4.5,2.5,5,5,-1.00333333333333,-1.00333333333333,3.99666666666667,100,100,100,100,0,0,2,2,2,50,45,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,586990,2152,"I'd rather talk with a republican",NA
"R_3qHCsWphANgI1BN","698df8431850f04bbc752804","Republican","R→D",80,"rep_first","twin_democrat",4,2,2,1,1,2,4,2,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,2,2.16666666666667,5,5,-1.00333333333333,-1.00333333333333,3.99666666666667,25,90,95,5,-65,90,4,5,5,0,43,"Male",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,1,589842,1266,"I'd rather talk with a democrat",NA
"R_1nyHPhKfqgn3LLr","615567110b3d6e418c6add32","Republican","R→D",80,"dem_first","twin_democrat",5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,4,5,4,5,5,4,4.33333333333333,4,2.83333333333333,4.5,-1.16333333333333,-0.503333333333333,3.99666666666667,30,80,30,81,-50,-51,3,2,3,25,34,"Male","White",NA,NA,"Latino",NA,NA,NA,0,0,1,594331,1682,"I'd rather talk with a republican",NA
"R_5C7S5NKBoRyFlSZ","5a440abd1ba496000102a238","Democrat","D→R",53,"dem_first","twin_republican",3,2,2,4,4,4,4,4,4,5,5,5,1,1,1,1,2,1,2,2,2,4,4,2,3.16666666666667,4.5,1.16666666666667,2.66666666666667,-2.60884353741497,-1.10884353741497,3.77551020408163,10,60,11,51,-50,-40,2,3,2,50,43,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,596459,824,"I'd rather talk with a republican",NA
"R_5V2BGLWpPSMMyY2","67d065dce723175895e18af9","Republican","R→D",77,"dem_first","twin_democrat",4,5,4,4,5,4,3,4,3,3,4,3,3,4,3,3,4,3,5,4,4,5,5,4,4.33333333333333,3.33333333333333,3.33333333333333,4.5,-0.663333333333333,-0.503333333333333,3.99666666666667,51,93,51,88,-42,-37,4,3,4,40,35,"Male",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,1,592943,1098,"I'd rather talk with a republican",NA
"R_7mj8GMF6O73KPyF","6108708cc133f82c35c00f12","Republican","R→D",21,"dem_first","twin_democrat",2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,-0.00333333333333341,-0.00333333333333341,3.99666666666667,41,57,42,56,-16,-14,2,2,2,25,28,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,518405,742,"I'd rather talk with a republican",NA
"R_54CMcMKnxqb4PMz","646b776eca37542a899c1de5","Republican","R→D",90,"dem_first","twin_democrat",4,4,3,5,4,4,4,4,3,5,4,4,4,4,3,5,4,4,4,5,5,5,5,4,4,4,4,4.66666666666667,-0.00333333333333341,-0.67,3.99666666666667,67,90,70,90,-23,-20,3,3,3,0,59,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,596543,1065,"I'd rather talk with a republican","I chose to ""keep"" the 50 cents because of the fake AI picture."
"R_16FILkyhdZYSLDP","65cce024500351e8c8f7ff26","Democrat","D→R",92,"rep_first","twin_republican",4,4,4,5,4,4,4,4,4,5,4,4,3,3,3,5,3,3,4,4,4,5,4,4,4.16666666666667,4.16666666666667,3.33333333333333,4.16666666666667,-0.442176870748299,-0.391156462585034,3.77551020408163,10,84,12,88,-74,-76,3,2,3,0,42,"Female",NA,NA,NA,NA,"Asian",NA,NA,0,0,2,123859,865,"I'd rather talk with a democrat","everything was clear and went well"
"R_6PUIk7J7SspxVf3","6942c05a7a01b8119deb4a9c","Democrat","D→R",70,"rep_first","twin_republican",5,5,4,5,4,5,4,5,4,5,4,5,1,1,1,1,1,1,4,4,4,4,4,4,4.66666666666667,4.5,1,4,-2.77551020408163,-0.224489795918367,3.77551020408163,10,70,10,70,-60,-60,4,1,1,50,27,"Female","White",NA,NA,NA,NA,NA,NA,0,0,7,484307,907,"I'd rather talk with a democrat",NA
"R_3DuN2zhmX70hZOK","6983112fa463a6c444d38410","Democrat","D→R",2,"rep_first","twin_republican",4,5,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4.16666666666667,4.33333333333333,4,1,-0.224489795918367,-2.77551020408163,3.77551020408163,8,7,50,50,1,0,3,3,5,0,32,"Male","White",NA,NA,NA,NA,NA,NA,0,0,1,597684,997,"I'd rather talk with a republican",NA
"R_7tc9KPdf5p64pdb","6604cdce9c02df4997ec8b68","Republican","R→D",18,"rep_first","twin_democrat",4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3.5,-0.996666666666667,-0.496666666666667,3.99666666666667,80,80,80,80,0,0,4,4,2,0,55,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,598262,1104,"I'd rather talk with a democrat",NA
"R_3vQ9v8hwMkA97wZ","672a799c5da8404d6f10fd61","Republican","R→D",55,"rep_first","twin_democrat",5,4,4,5,5,3,4,4,3,4,3,2,5,4,4,5,4,4,5,5,4,5,5,4,4.33333333333333,3.33333333333333,4.33333333333333,4.66666666666667,-0.336666666666666,-0.67,3.99666666666667,35,60,35,60,-25,-25,2,2,3,50,47,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,597320,877,"I'd rather talk with a republican",NA
"R_34pCSrGn41gBx0k","56849d528f456f000c45e1dd","Democrat","D→R",94,"dem_first","twin_republican",5,5,5,5,5,4,4,4,5,5,5,3,1,1,3,1,1,1,3,3,1,1,1,1,4.83333333333333,4.33333333333333,1.33333333333333,1.66666666666667,-2.4421768707483,-2.10884353741497,3.77551020408163,0,93,0,85,-93,-85,4,5,3,0,38,"Female",NA,"Black or African American","American Indian or Alaska Native",NA,NA,NA,NA,0,0,1,596795,1025,"I'd rather talk with a democrat",NA
"R_5VQr79YF1ge8ejX","663e4e95e7e0acca1b1cd005","Democrat","D→R",100,"rep_first","twin_republican",4,3,3,3,3,4,3,4,4,4,3,3,1,2,3,1,2,3,4,3,4,4,1,4,3.33333333333333,3.5,2,3.33333333333333,-1.77551020408163,-0.442176870748299,3.77551020408163,0,100,0,100,-100,-100,2,1,1,50,36,"Male",NA,NA,NA,NA,NA,NA,"Other",0,0,1,597620,1079,"I'd rather talk with a democrat",NA
"R_5Yqo9VdKMPaG5Hz","6571e4f4cfa8086f608fabf3","Democrat","D→R",56,"rep_first","twin_republican",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-0.224489795918367,-0.224489795918367,3.77551020408163,69,67,72,71,2,1,3,3,4,0,24,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,597607,768,"I'd rather talk with a democrat",NA
"R_7pX5ZJzqavB5PzS","694045a6d8c5a7135d7f729a","Republican","R→D",100,"dem_first","twin_democrat",5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,5,-2.99666666666667,-1.00333333333333,3.99666666666667,50,100,100,100,-50,0,5,5,5,21,52,"Male",NA,"Black or African American",NA,NA,NA,NA,NA,0,0,1,591396,1131,"I'd rather talk with a republican","No comments"
"R_3iLm8xR1X4xI5pl","55fc2b4377f33b000ecb21ed","Democrat","D→R",0,"dem_first","twin_republican",3,1,2,4,3,2,5,3,5,4,5,4,2,1,1,2,2,1,4,2,2,4,3,2,2.5,4.33333333333333,1.5,2.83333333333333,-2.27551020408163,-0.942176870748299,3.77551020408163,48,53,46,54,-5,-8,2,4,4,0,39,"Male","White",NA,NA,NA,NA,NA,NA,0,0,2,575855,750,"I'd rather talk with a republican",NA
"R_1pJBSRUzJYQ6jU7","6966d373da1a88ba565259cc","Republican","R→D",100,"rep_first","twin_democrat",1,1,1,1,2,1,1,1,1,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,1.16666666666667,1.16666666666667,5,5,-1.00333333333333,-1.00333333333333,3.99666666666667,10,100,10,100,-90,-90,4,5,5,0,56,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,597350,871,"I'd rather talk with a republican",NA
"R_6zNFTiMIqFOTTpL","695fb0485e22f6e6da1dfe02","Democrat","D→R",97,"rep_first","twin_republican",4,4,4,5,5,5,4,4,5,5,5,5,1,1,1,1,1,1,4,3,3,4,2,2,4.5,4.66666666666667,1,3,-2.77551020408163,-0.775510204081633,3.77551020408163,5,90,10,95,-85,-85,4,3,3,0,36,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,597212,1280,"I'd rather talk with a democrat",NA
"R_63wrUj8Jqg0k2K5","67dc849f4725aad5978b9eb1","Republican","R→D",100,"rep_first","twin_democrat",4,3,3,4,5,4,4,3,2,4,4,4,5,4,5,5,5,5,5,5,5,4,5,5,3.83333333333333,3.5,4.83333333333333,4.83333333333333,-0.836666666666666,-0.836666666666666,3.99666666666667,63,100,82,100,-37,-18,3,3,5,50,58,"Male",NA,NA,NA,NA,"Asian",NA,NA,0,0,1,589577,1329,"I'd rather talk with a democrat","the study went well"
"R_1qU4cIgmWLIsfUp","6991e06cd1594e72a28cf3f7","Republican","R→D",50,"rep_first","twin_democrat",4,4,4,4,4,4,2,2,2,4,1,2,5,5,5,5,5,5,5,5,5,5,5,5,4,2.16666666666667,5,5,-1.00333333333333,-1.00333333333333,3.99666666666667,50,50,70,40,0,30,4,4,4,0,58,"Female","White",NA,NA,NA,NA,NA,NA,2,16274,2,595870,1197,"I'd rather talk with a democrat",NA
"R_60UkWdV6U9DwR7Y","682a1996cd2cfa1f1160cb71","Republican","R→D",100,"dem_first","twin_democrat",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1.00333333333333,-1.00333333333333,3.99666666666667,50,99,50,96,-49,-46,5,1,5,50,42,"Male","White",NA,NA,NA,NA,NA,NA,2,36692,7,298674,1116,"I'd rather talk with a republican",NA
"R_1nAXu3Wn3FFI0Cz","69446a662f72f30671df1c89","Democrat","D→R",75,"rep_first","twin_republican",4,4,2,5,2,4,5,5,5,5,4,5,4,2,2,4,2,2,4,5,5,5,4,4,3.5,4.83333333333333,2.66666666666667,4.5,-1.10884353741497,-0.724489795918367,3.77551020408163,55,70,70,81,-15,-11,4,3,3,5,35,"Female","White",NA,NA,NA,NA,NA,NA,0,0,1,594991,1022,"I'd rather talk with a republican",NA
"R_7w0Ph8RdzBX30m5","699390b11dbc2b9076cbd4a8","Democrat","D→R",100,"dem_first","twin_republican",5,5,5,5,5,4,5,5,5,5,5,4,1,1,1,1,1,1,4,2,2,2,4,2,4.83333333333333,4.83333333333333,1,2.66666666666667,-2.77551020408163,-1.10884353741497,3.77551020408163,1,100,10,100,-99,-90,4,4,4,0,35,"Female","White",NA,NA,NA,NA,NA,NA,0,0,2,80705,930,"I'd rather talk with a republican",NA
